'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
Drake Navy Issue Wiyrkomi SKIN (Permanent)	幼龙级海军型维克米涂装（无限期）
Drake Navy Issue Wiyrkomi Serenity Only SKIN (30 Days)	幼龙级海军型维克米涂装（30天）
Drake Navy Issue Wiyrkomi Serenity Only SKIN (365 Days)	幼龙级海军型维克米涂装（365天）
Drake Navy Issue Wiyrkomi Serenity Only SKIN (7 Days)	幼龙级海军型维克米涂装（7天）
Drake Navy Issue Wiyrkomi Serenity Only SKIN (90 Days)	幼龙级海军型维克米涂装（90天）
Drake Navy Issue Wiyrkomi Serenity Only SKIN (Permanent)	幼龙级海军型维克米涂装（无限期）
Drake Raata Sunset SKIN (Permanent)	幼龙级拉塔日落涂装（无限期）
Drake Raata Sunset Serenity Only SKIN (30 Days)	幼龙级拉塔日落涂装（30天）
Drake Raata Sunset Serenity Only SKIN (365 Days)	幼龙级拉塔日落涂装（365天）
Drake Raata Sunset Serenity Only SKIN (7 Days)	幼龙级拉塔日落涂装（7天）
Drake Raata Sunset Serenity Only SKIN (90 Days)	幼龙级拉塔日落涂装（90天）
Drake Raata Sunset Serenity Only SKIN (Permanent)	幼龙级拉塔日落涂装（无限期）
Drake Serenity YC117 SKIN (30 Days)	幼龙级YC117年涂装（30天）
Drake Serenity YC117 SKIN (365 Days)	幼龙级YC117年涂装（365天）
Drake Serenity YC117 SKIN (7 Days)	幼龙级YC117年涂装（7天）
Drake Serenity YC117 SKIN (90 Days)	幼龙级YC117年涂装（90天）
Drake Serenity YC117 SKIN (Permanent)	幼龙级YC117年涂装（无限期）
Drake Wiyrkomi SKIN (Permanent)	幼龙级维克米涂装（无限期）
Drake Wiyrkomi Serenity Only SKIN (30 Days)	幼龙级维克米涂装（30天）
Drake Wiyrkomi Serenity Only SKIN (365 Days)	幼龙级维克米涂装（365天）
Drake Wiyrkomi Serenity Only SKIN (7 Days)	幼龙级维克米涂装（7天）
Drake Wiyrkomi Serenity Only SKIN (90 Days)	幼龙级维克米涂装（90天）
Drake Wiyrkomi Serenity Only SKIN (Permanent)	幼龙级维克米涂装（无限期）
Dramiel	德拉米尔级
Dramiel Bluebird SKIN (Permanent)	德拉米尔级蓝鸟涂装（无限期）
Dramiel Blueprint	德拉米尔级蓝图
Dramiel Red Kite SKIN (Permanent)	德拉米尔级红鸢涂装（无限期）
Dramiel YC119 Guardian's Gala 'Spirit' Edition SKIN (Permanent)	德拉米尔级YC119年守护者“派对精神”涂装（无限期）
Drawback	缺陷
Drazin Jaruk	德拉辛·贾鲁克
Drazin's Keycard	德拉辛的钥匙卡片
Dread Guristas	恐惧古斯塔斯
Dread Guristas 125mm Railgun	恐惧古斯塔斯125mm磁轨炮
Dread Guristas 150mm Railgun	恐惧古斯塔斯150mm磁轨炮
Dread Guristas 200mm Railgun	恐惧古斯塔斯200mm磁轨炮
Dread Guristas 250mm Railgun	恐惧古斯塔斯250mm磁轨炮
Dread Guristas 350mm Railgun	恐惧古斯塔斯350mm磁轨炮
Dread Guristas 425mm Railgun	恐惧古斯塔斯425mm磁轨炮
Dread Guristas 75mm Railgun	恐惧古斯塔斯75mm磁轨炮
Dread Guristas Abolisher	恐惧古斯塔斯 废除者
Dread Guristas Adaptive Invulnerability Field	恐惧古斯塔斯自适应全能力场
Dread Guristas Anarchist	恐惧古斯塔斯 无政府主义者
Dread Guristas Annihilator	恐惧古斯塔斯 歼灭者
Dread Guristas Antimatter Charge L	恐惧古斯塔斯反物质轨道弹 L
Dread Guristas Antimatter Charge M	恐惧古斯塔斯反物质轨道弹 M
Dread Guristas Antimatter Charge S	恐惧古斯塔斯反物质轨道弹 S
Dread Guristas Antimatter Charge XL	恐惧古斯塔斯反物质轨道弹 XL
Dread Guristas Arrogator	恐惧古斯塔斯 自尊者
Dread Guristas Ascriber	恐惧古斯塔斯 起诉者
Dread Guristas Assassin	恐惧古斯塔斯 刺杀者
Dread Guristas Assaulter	恐惧古斯塔斯 攻击者
Dread Guristas Ballistic Control System	恐惧古斯塔斯弹道控制系统
Dread Guristas Brass Tag	恐惧古斯塔斯黄铜铭牌
Dread Guristas Bronze Tag	恐惧古斯塔斯青铜铭牌
Dread Guristas Capital Flex Shield Hardener	恐惧古斯塔斯旗舰级弯曲护盾增强器
Dread Guristas Capital Flex Shield Hardener Blueprint	恐惧古斯塔斯旗舰级弯曲护盾增强器蓝图
Dread Guristas Capital Remote Shield Booster	恐惧古斯塔斯旗舰级远程护盾回充增量器
Dread Guristas Capital Remote Shield Booster Blueprint	恐惧古斯塔斯旗舰级远程护盾回充增量器蓝图
Dread Guristas Capital Shield Booster	恐惧古斯塔斯旗舰级护盾回充增量器
Dread Guristas Capital Shield Booster Blueprint	恐惧古斯塔斯旗舰级护盾回充增量器蓝图
Dread Guristas Capital Shield Extender	恐惧古斯塔斯旗舰级护盾扩展装置
Dread Guristas Capital Shield Extender Blueprint	恐惧古斯塔斯旗舰级护盾扩展装置蓝图
Dread Guristas Cloaking Device	恐惧古斯塔斯隐形装置
Dread Guristas Co-Processor	恐惧古斯塔斯协处理器
Dread Guristas Colonel	恐惧古斯塔斯 上校
Dread Guristas Commanding Officer	恐惧古斯塔斯 指挥官
Dread Guristas Conquistador	恐惧古斯塔斯 征服者
Dread Guristas Control Tower	恐惧古斯塔斯控制塔
Dread Guristas Control Tower Blueprint	恐惧古斯塔斯控制塔蓝图
Dread Guristas Control Tower Medium	恐惧古斯塔斯中型控制塔
Dread Guristas Control Tower Medium Blueprint	恐惧古斯塔斯中型控制塔蓝图
Dread Guristas Control Tower Small	恐惧古斯塔斯小型控制塔
Dread Guristas Control Tower Small Blueprint	恐惧古斯塔斯小型控制塔蓝图
Dread Guristas Copper Tag	恐惧古斯塔斯铜质铭牌
Dread Guristas Cruise Missile Battery	恐惧古斯塔斯巡航导弹发射台
Dread Guristas Cruise Missile Battery Blueprint	恐惧古斯塔斯巡航导弹发射塔蓝图
Dread Guristas Cruise Missile Launcher	恐惧古斯塔斯巡航导弹发射器
Dread Guristas Crystal Tag	恐惧古斯塔斯水晶铭牌
Dread Guristas Death Dealer	恐惧古斯塔斯 灵魂交易者
Dread Guristas Demolisher	恐惧古斯塔斯 粉碎者
Dread Guristas Despoiler	恐惧古斯塔斯 掠夺者
Dread Guristas Destroyer	恐惧古斯塔斯 破坏者
Dread Guristas Destructor	恐惧古斯塔斯 捣毁者
Dread Guristas Diamond Tag	恐惧古斯塔斯钻石铭牌
Dread Guristas Dismantler	恐惧古斯塔斯 拆毁者
Dread Guristas Dreadnought	恐惧古斯塔斯无畏舰
Dread Guristas Drone Damage Amplifier	恐惧古斯塔斯无人机伤害增效装置
Dread Guristas Dual 150mm Railgun	恐惧古斯塔斯双联150mm磁轨炮
Dread Guristas Dual 250mm Railgun	恐惧古斯塔斯双联250mm磁轨炮
Dread Guristas EM Ward Amplifier	恐惧古斯塔斯电磁防护增效器
Dread Guristas EM Ward Field	恐惧古斯塔斯电磁防护力场
Dread Guristas Electrum Tag	恐惧古斯塔斯合金铭牌
Dread Guristas Eliminator	恐惧古斯塔斯 除灭者
Dread Guristas Enforcer	恐惧古斯塔斯 强制者
Dread Guristas Envoy_destroyer	恐惧古斯塔斯特使_驱逐舰
Dread Guristas Eradicator	恐惧古斯塔斯 根除者
Dread Guristas Eraser	恐惧古斯塔斯 消除者
Dread Guristas Executor	恐惧古斯塔斯 执行者
Dread Guristas Explosive Deflection Amplifier	恐惧古斯塔斯爆炸偏阻增效器
Dread Guristas Explosive Deflection Field	恐惧古斯塔斯爆炸偏阻力场
Dread Guristas Exterminator	恐惧古斯塔斯 毁灭者
Dread Guristas Extinguisher	恐惧古斯塔斯 泯灭者
Dread Guristas Gold Tag	恐惧古斯塔斯黄金铭牌
Dread Guristas Guerilla	恐惧古斯塔斯 游击队
Dread Guristas Heavy Assault Missile Launcher	恐惧古斯塔斯重型攻击导弹发射器
Dread Guristas Heavy Assault Missile Launcher Blueprint	恐惧古斯塔斯重型攻击导弹发射器蓝图
Dread Guristas Heavy Missile Launcher	恐惧古斯塔斯重型导弹发射器
Dread Guristas Imputor	恐惧古斯塔斯 输入者
Dread Guristas Inferno	恐惧古斯塔斯 地狱来客
Dread Guristas Inferno Cruise Missile	恐惧古斯塔斯炼狱巡航导弹
Dread Guristas Inferno Heavy Assault Missile	恐惧古斯塔斯炼狱重型攻击导弹
Dread Guristas Inferno Heavy Missile	恐惧古斯塔斯炼狱重型导弹
Dread Guristas Inferno Light Missile	恐惧古斯塔斯炼狱轻型导弹
Dread Guristas Inferno Rocket	恐惧古斯塔斯炼狱火箭
Dread Guristas Inferno Torpedo	恐惧古斯塔斯炼狱鱼雷
Dread Guristas Infiltrator	恐惧古斯塔斯 渗透者
Dread Guristas Invader	恐惧古斯塔斯 入侵者
Dread Guristas Ion Field Projection Battery	恐惧古斯塔斯离子力场投射台
Dread Guristas Ion Field Projection Battery Blueprint	恐惧古斯塔斯离子力场投射台蓝图
Dread Guristas Iridium Charge L	恐惧古斯塔斯铱质轨道弹 L
Dread Guristas Iridium Charge M	恐惧古斯塔斯铱质轨道弹 M
Dread Guristas Iridium Charge S	恐惧古斯塔斯铱质轨道弹 S
Dread Guristas Iridium Charge XL	恐惧古斯塔斯铱质轨道弹 XL
Dread Guristas Iron Charge L	恐惧古斯塔斯铁质轨道弹 L
Dread Guristas Iron Charge M	恐惧古斯塔斯铁质轨道弹 M
Dread Guristas Iron Charge S	恐惧古斯塔斯铁质轨道弹 S
Dread Guristas Iron Charge XL	恐惧古斯塔斯铁质轨道弹 XL
Dread Guristas Irregular	恐惧古斯塔斯 叛道者
Dread Guristas Killer	恐惧古斯塔斯 杀手
Dread Guristas Kinetic Deflection Amplifier	恐惧古斯塔斯动能偏阻增效器
Dread Guristas Kinetic Deflection Field	恐惧古斯塔斯动能偏阻力场
Dread Guristas Large Graviton Smartbomb	恐惧古斯塔斯大型引力子立体炸弹
Dread Guristas Large Shield Booster	恐惧古斯塔斯大型护盾回充增量器
Dread Guristas Lead Charge L	恐惧古斯塔斯铅质轨道弹 L
Dread Guristas Lead Charge M	恐惧古斯塔斯铅质轨道弹 M
Dread Guristas Lead Charge S	恐惧古斯塔斯铅质轨道弹 S
Dread Guristas Lead Charge XL	恐惧古斯塔斯铅质轨道弹 XL
Dread Guristas Light Missile Launcher	恐惧古斯塔斯轻型导弹发射器
Dread Guristas Massacrer	恐惧古斯塔斯 消灭者
Dread Guristas Medium Graviton Smartbomb	恐惧古斯塔斯中型引力子立体炸弹
Dread Guristas Medium Shield Booster	恐惧古斯塔斯中型护盾回充增量器
Dread Guristas Micro Graviton Smartbomb	恐惧古斯塔斯微型引力子立体炸弹
Dread Guristas Mjolnir Cruise Missile	恐惧古斯塔斯雷神巡航导弹
Dread Guristas Mjolnir Heavy Assault Missile	恐惧古斯塔斯雷神重型攻击导弹
Dread Guristas Mjolnir Heavy Missile	恐惧古斯塔斯雷神重型导弹
Dread Guristas Mjolnir Light Missile	恐惧古斯塔斯雷神轻型导弹
Dread Guristas Mjolnir Rocket	恐惧古斯塔斯雷神火箭
Dread Guristas Mjolnir Torpedo	恐惧古斯塔斯雷神鱼雷
Dread Guristas Mortifier	恐惧古斯塔斯 苦行者
Dread Guristas Multispectral ECM	恐惧古斯塔斯多谱式ECM
Dread Guristas Murderer	恐惧古斯塔斯 谋杀者
Dread Guristas Nihilist	恐惧古斯塔斯 虚无者
Dread Guristas Nova Cruise Missile	恐惧古斯塔斯星爆巡航导弹
Dread Guristas Nova Heavy Assault Missile	恐惧古斯塔斯星爆重型攻击导弹
Dread Guristas Nova Heavy Missile	恐惧古斯塔斯星爆重型导弹
Dread Guristas Nova Light Missile	恐惧古斯塔斯星爆轻型导弹
Dread Guristas Nova Rocket	恐惧古斯塔斯星爆火箭
Dread Guristas Nova Torpedo	恐惧古斯塔斯星爆鱼雷
Dread Guristas Nullifier	恐惧古斯塔斯 湮灭者
Dread Guristas Obliterator	恐惧古斯塔斯 灭迹者
Dread Guristas Omnidirectional Tracking Enhancer	恐惧古斯塔斯全方位索敌增强器
Dread Guristas Palladium Tag	恐惧古斯塔斯钯金铭牌
Dread Guristas Phase Inversion Battery	恐惧古斯塔斯相位倒置接收塔
Dread Guristas Phase Inversion Battery Blueprint	恐惧古斯塔斯相位倒置接收塔蓝图
Dread Guristas Platinum Tag	恐惧古斯塔斯白金铭牌
Dread Guristas Plunderer	恐惧古斯塔斯 豪夺者
Dread Guristas Plutonium Charge L	恐惧古斯塔斯锰质轨道弹 L
Dread Guristas Plutonium Charge M	恐惧古斯塔斯锰质轨道弹 M
Dread Guristas Plutonium Charge S	恐惧古斯塔斯锰质轨道弹 S
Dread Guristas Plutonium Charge XL	恐惧古斯塔斯锰质轨道弹 XL
Dread Guristas Rapid Heavy Missile Launcher	恐惧古斯塔斯重型快速导弹发射器
Dread Guristas Rapid Light Missile Launcher	恐惧古斯塔斯轻型快速导弹发射器
Dread Guristas Rapid Torpedo Launcher	恐惧古斯塔斯快速鱼雷发射器
Dread Guristas Rapid Torpedo Launcher Blueprint	恐惧古斯塔斯超快速鱼雷发射器蓝图
Dread Guristas Renegade	恐惧古斯塔斯 变节者
Dread Guristas Revolter	恐惧古斯塔斯 反抗者
Dread Guristas Rocket Launcher	恐惧古斯塔斯火箭发射器
Dread Guristas Saboteur	恐惧古斯塔斯 阴谋者
Dread Guristas Scourge Cruise Missile	恐惧古斯塔斯鞭挞巡航导弹
Dread Guristas Scourge F.O.F. Cruise Missile I	恐惧古斯塔斯鞭挞F.O.F.巡航导弹 I
Dread Guristas Scourge F.O.F. Heavy Missile I	恐惧古斯塔斯鞭挞F.O.F.重型导弹 I
Dread Guristas Scourge F.O.F. Light Missile I	恐惧古斯塔斯鞭挞F.O.F.轻型导弹 I
Dread Guristas Scourge Heavy Assault Missile	恐惧古斯塔斯鞭挞重型攻击导弹
Dread Guristas Scourge Heavy Missile	恐惧古斯塔斯鞭挞重型导弹
Dread Guristas Scourge Light Missile	恐惧古斯塔斯鞭挞轻型导弹
Dread Guristas Scourge Rocket	恐惧古斯塔斯鞭挞火箭
Dread Guristas Scourge Torpedo	恐惧古斯塔斯鞭挞鱼雷
Dread Guristas Shield Boost Amplifier	恐惧古斯塔斯护盾回充增量增效器
Dread Guristas Shield Flux Coil	恐惧古斯塔斯护盾通量线圈
Dread Guristas Silencer	恐惧古斯塔斯 灭音者
Dread Guristas Silver Tag	恐惧古斯塔斯银质铭牌
Dread Guristas Small Graviton Smartbomb	恐惧古斯塔斯小型引力子立体炸弹
Dread Guristas Small Shield Booster	恐惧古斯塔斯小型护盾回充增量器
Dread Guristas Spatial Destabilization Battery	恐惧古斯塔斯空间扰乱发射器
Dread Guristas Spatial Destabilization Battery Blueprint	恐惧古斯塔斯空间扰乱发射器蓝图
Dread Guristas Stasis Webifier	恐惧古斯塔斯停滞缠绕光束
Dread Guristas Strike Force	恐惧古斯塔斯攻击部队
Dread Guristas Supremacist	恐惧古斯塔斯 种族主义者
Dread Guristas Terrorist	恐惧古斯塔斯 恐怖分子
Dread Guristas Thermal Dissipation Amplifier	恐惧古斯塔斯热能发散增效器
Dread Guristas Thermal Dissipation Field	恐惧古斯塔斯热能发散力场
Dread Guristas Thorium Charge L	恐惧古斯塔斯钍质轨道弹 L
Dread Guristas Thorium Charge M	恐惧古斯塔斯钍质轨道弹 M
Dread Guristas Thorium Charge S	恐惧古斯塔斯钍质轨道弹 S
Dread Guristas Thorium Charge XL	恐惧古斯塔斯钍质轨道弹 XL
Dread Guristas Titan	恐惧古斯塔斯泰坦
Dread Guristas Torpedo Battery	恐惧古斯塔斯鱼雷发射台
Dread Guristas Torpedo Battery Blueprint	恐惧古斯塔斯鱼雷发射塔蓝图
Dread Guristas Torpedo Launcher	恐惧古斯塔斯鱼雷发射器
Dread Guristas Tungsten Charge L	恐惧古斯塔斯钨质轨道弹 L
Dread Guristas Tungsten Charge M	恐惧古斯塔斯钨质轨道弹 M
Dread Guristas Tungsten Charge S	恐惧古斯塔斯钨质轨道弹 S
Dread Guristas Tungsten Charge XL	恐惧古斯塔斯钨质轨道弹 XL
Dread Guristas Uranium Charge L	恐惧古斯塔斯钼质轨道弹 L
Dread Guristas Uranium Charge M	恐惧古斯塔斯钼质轨道弹 M
Dread Guristas Uranium Charge S	恐惧古斯塔斯钼质轨道弹 S
Dread Guristas Uranium Charge XL	恐惧古斯塔斯钼质轨道弹 XL
Dread Guristas Usurper	恐惧古斯塔斯 篡夺者
Dread Guristas Warp Disruptor	恐惧古斯塔斯跃迁扰断器
Dread Guristas Warp Scrambler	恐惧古斯塔斯跃迁扰频器
Dread Guristas White Noise Generation Battery	恐惧古斯塔斯白噪发生器台站
Dread Guristas White Noise Generation Battery Blueprint	恐惧古斯塔斯白噪发生器台站蓝图
Dread Guristas Wrecker	恐惧古斯塔斯 肇事者
Dread Guristas X-Large Shield Booster	恐惧古斯塔斯超大型护盾回充增量器
Dread Guristas XL Cruise Missile Launcher	恐惧古斯塔斯超大型巡航导弹发射器
Dread Guristas XL Cruise Missile Launcher Blueprint	恐惧古斯塔斯超大型巡航导弹发射器蓝图
Dread Guristas XL Torpedo Battery	恐惧古斯塔斯超大型鱼雷发射台
Dread Guristas XL Torpedo Battery Blueprint	恐惧古斯塔斯超大型鱼雷发射塔蓝图
Dread Guristas XL Torpedo Launcher	恐惧古斯塔斯超大型鱼雷发射器
